osm_type,osm_id,name,category,lat,lon,occurrence_count,tag_addr:block,tag_addr:block_number,tag_addr:blocknumber,tag_addr:city,tag_addr:country,tag_addr:county,tag_addr:district,tag_addr:district:en,tag_addr:flats,tag_addr:floor,tag_addr:full,tag_addr:hamlet,tag_addr:housename,tag_addr:housenumber,tag_addr:housenumber_1,tag_addr:housing_estate,tag_addr:interpolation,tag_addr:kecamatan,tag_addr:kelurahan,tag_addr:km,tag_addr:level,tag_addr:neighborhood,tag_addr:neighbourhood,tag_addr:nib,tag_addr:parentstreet,tag_addr:place,tag_addr:plot,tag_addr:postcode,tag_addr:province,tag_addr:region,tag_addr:rt,tag_addr:rw,tag_addr:state,tag_addr:street,tag_addr:street:prefix,tag_addr:subdistrict,tag_addr:suburb,tag_addr:town,tag_addr:unit,tag_addr:village,tag_addr:ward
node,4928121810,34 12410,fuel,-6.3040855,106.78206150000001,1,,,,DKI Jakarta,,,,,,,Jalan Karang Tengah Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5104675990,34 14411,fuel,-6.1216094000000005,106.73249960000001,1,,,,DKI Jakarta,,,,,,,Jalan Kapuk Kamal Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4883234775,34-10205,fuel,-6.180398800000001,106.8136199,1,,,,DKI Jakarta,,,,,,,Jalan Cideng Timur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5006840493,34-12407,fuel,-6.2822186,106.79145050000001,1,,,,DKI Jakarta,,,,,,,Jalan Terogong Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4981828257,34-12409,fuel,-6.30926,106.7807406,1,,,,DKI Jakarta,,,,,,,Jalan Karang Tengah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5225836451,34-15404,fuel,-6.3107984,106.7712307,1,,,,,,,,,,,Jalan Cireundeu Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5082958545,34.11205,fuel,-6.208098700000001,106.7880964,1,,,,DKI Jakarta,,,,,,,Jalan Palmerah Barat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5056125428,34.11402,fuel,-6.1742623000000005,106.8032455,1,,,,DKI Jakarta,,,,,,,Jalan Tomang Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5013168986,34.11502,fuel,-6.165451600000001,106.76350590000001,1,,,,DKI Jakarta,,,,,,,Jalan Panjang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4984102643,34.11504,fuel,-6.1889114,106.7619954,1,,,,DKI Jakarta,,,,,,,Jalan Kedoya Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
