source_id,snapshot,province_code,province_name,city_code,city_name,district_code,district_name,village_code,village_name,postal_code,evidence_url,note
pos_indonesia_postcode_search,2026-08-11,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,32.09.18.2001,CEMPAKA,45655,https://kodepos.posindonesia.co.id/CariKodepos,"Selected manual query 'CEMPAKA'; official result row matched Cempaka / Plumbon / Kab. Cirebon / Jawa Barat. Evidence remains on hold and is not promoted automatically."
pos_indonesia_postcode_search,2026-08-11,32,JAWA BARAT,32.07,KAB. CIAMIS,32.07.37,BANJARANYAR,32.07.37.2001,PASAWAHAN,46283,https://kodepos.posindonesia.co.id/CariKodepos,"Selected manual query 'PASAWAHAN'; official result row matched Pasawahan / Banjaranyar / Kab. Ciamis / Jawa Barat. Evidence remains on hold and is not promoted automatically."
