village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot,unresolved_pattern,district_cluster_id,district_cluster_size,triplet_cluster_id,triplet_cluster_size,review_priority
32.09.18.2011,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,PURBAWINANGUN,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2011;open_data_jabar:32.09.18.2011;kodepos_dev:32.09.18.2011,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3102;open_data_jabar:20793;kodepos_dev:3102,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2012,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,KEBAREPAN,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2012;open_data_jabar:32.09.18.2012;kodepos_dev:32.09.18.2012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3103;open_data_jabar:20794;kodepos_dev:3103,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2013,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,PASANGGRAHAN,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2013;open_data_jabar:32.09.18.2013;kodepos_dev:32.09.18.2013,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3104;open_data_jabar:20795;kodepos_dev:3104,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2014,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,KEDUNGSANA,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2014;open_data_jabar:32.09.18.2014;kodepos_dev:32.09.18.2014,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3105;open_data_jabar:20796;kodepos_dev:3105,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.09.18.2015,32,JAWA BARAT,32.09,KAB. CIREBON,32.09.18,PLUMBON,DANAMULYA,,,,,45655,45155,45158,45155;45158;45655,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.09.18.2015;open_data_jabar:32.09.18.2015;kodepos_dev:32.09.18.2015,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:3106;open_data_jabar:20797;kodepos_dev:3106,2026-08-11,all_three_different,DIST-338A783B18C4,15,TRIP-ABA1659D31D7,15,high
32.06.01.2001,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,CIHERAS,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2001;open_data_jabar:32.06.01.2001;kodepos_dev:32.06.01.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1905;open_data_jabar:19463;kodepos_dev:1905,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
32.06.01.2002,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,CIPATUJAH,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2002;open_data_jabar:32.06.01.2002;kodepos_dev:32.06.01.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1906;open_data_jabar:19464;kodepos_dev:1906,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
32.06.01.2003,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,SINDANGKERTA,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2003;open_data_jabar:32.06.01.2003;kodepos_dev:32.06.01.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1907;open_data_jabar:19465;kodepos_dev:1907,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
32.06.01.2004,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,CIKAWUNGGADING,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2004;open_data_jabar:32.06.01.2004;kodepos_dev:32.06.01.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1908;open_data_jabar:19466;kodepos_dev:1908,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
32.06.01.2006,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,DARAWATI,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2006;open_data_jabar:32.06.01.2006;kodepos_dev:32.06.01.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1910;open_data_jabar:19468;kodepos_dev:1910,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
32.06.01.2007,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,NAGROG,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2007;open_data_jabar:32.06.01.2007;kodepos_dev:32.06.01.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1911;open_data_jabar:19469;kodepos_dev:1911,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
32.06.01.2008,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,PAMEUTINGAN,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2008;open_data_jabar:32.06.01.2008;kodepos_dev:32.06.01.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1912;open_data_jabar:19471;kodepos_dev:1912,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
32.06.01.2009,32,JAWA BARAT,32.06,KAB. TASIKMALAYA,32.06.01,CIPATUJAH,TOBONGJAYA,,,,,46489,46189,46187,46187;46189;46489,review_required,unresolved,yes,No automatic selection: Kodepos.dev does not corroborate exactly one local source.,no,,diskominfo:32.06.01.2009;open_data_jabar:32.06.01.2009;kodepos_dev:32.06.01.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:1913;open_data_jabar:19472;kodepos_dev:1913,2026-08-11,all_three_different,DIST-355F90E49129,14,TRIP-B11BD3083731,14,high
