id,kode_bps_provinsi,nama_bps_provinsi,kode_kemendagri_provinsi,nama_kemendagri_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,kode_pos,tahun
10905,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050013,TANAH TINGGI,12.19.03.2005,TANAH TINGGI,21256,2023
10906,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050012,TANJUNG MUDA,12.19.03.2006,TANJUNGMUDA,21256,2023
10907,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050011,TANAH MERAH,12.19.03.2007,TANAH MERAH,21256,2023
10908,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050016,ARAS,12.19.03.2008,ARAS,21256,2023
10909,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050009,PASAR LAPAN,12.19.03.2009,PASAR LAPAN,21256,2023
1091,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105101,SUNGAI RAYA,03-11-19,SUNGAI RAYA,1105101005,PAYA KEUTAPANG,11.03.19.2007,PAYA KEUTAPANG,24458,2023
10910,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050008,SIPARE-PARE,12.19.03.2010,SIPARE-PARE,21256,2023
10911,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050022,TANJUNG KUBAH,12.19.03.2011,TANJUNGKUBAH,21256,2023
10912,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050021,TANJUNG HARAPAN,12.19.03.2012,TANJUNGHARAPAN,21256,2023
10913,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050023,SUKA RAMAI,12.19.03.2013,SUKA RAMAI,21652,2023
10914,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050027,TANAH RENDAH,12.19.03.2014,TANAH RENDAH,21256,2023
10915,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050029,TANJUNG MULYA,12.19.03.2015,TANJUNGMULYA,21656,2023
10916,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050024,TITI PAYUNG,12.19.03.2016,TITI PAYUNG,21256,2023
10917,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050025,PERKOTAAN,12.19.03.2017,PERKOTAAN,21256,2023
10918,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219050,AIR PUTIH,19-12-03,AIR PUTIH,1219050028,KAMPUNG KELAPA,12.19.03.2018,KAMPUNG KELAPA,21256,2023
10919,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040003,LIMA PULUH KOTA,12.19.04.1001,LIMA PULUH KOTA,21255,2023
1092,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105101,SUNGAI RAYA,03-11-19,SUNGAI RAYA,1105101001,GAJAH MENTAH,11.03.19.2008,GAJAH MENTAH,24458,2023
10920,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040001,MANGKAI BARU,12.19.04.2011,MANGKAI BARU,21255,2023
10921,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040002,MANGKAI LAMA,12.19.04.2012,MANGKAI LAMA,21255,2023
10922,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040004,PERKEBUNAN DOLOK,12.19.04.2014,PERKEBUNAN DOLOK,21255,2023
10923,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040008,PERKEBUNAN KWALA GUNUNG,12.19.04.2015,PERKEBUNAN KWALA GUNUNG,21255,2023
10924,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040007,ANTARA,12.19.04.2016,ANTARA,21255,2023
10925,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040013,PERKEBUNAN LIMA PULUH,12.19.04.2017,PERKEBUNAN LIMA PULUH,21255,2023
10926,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040006,PERKEBUNAN LIMAU MANIS,12.19.04.2018,PERKEBUNAN LIMAU MANIS,21255,2023
10927,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040015,PERKEBUNAN TANAH GAMBUS,12.19.04.2019,PERKEBUNAN TANAH GAMBUS,21255,2023
10928,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040027,SIMPANG GAMBUS,12.19.04.2025,SIMPANG GAMBUS,21255,2023
10929,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040014,SUMBER MAKMUR,12.19.04.2026,SUMBER MAKMUR,21255,2023
1093,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105101,SUNGAI RAYA,03-11-19,SUNGAI RAYA,1105101003,SEUNEUBOK PASE,11.03.19.2009,SEUNEUBOK PASE,24458,2023
10930,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219040,LIMAPULUH,19-12-04,LIMA PULUH,1219040005,SUMBER PADI,12.19.04.2027,SUMBER PADI,21255,2023
10931,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030011,LABUHAN RUKU,12.19.05.1001,LABUHAN RUKU,21254,2023
10932,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030013,DAHARI SELEBAR,12.19.05.2004,DAHARI SELEBAR,21254,2023
10933,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030012,MESJID LAMA,12.19.05.2006,MESJID LAMA,21254,2023
10934,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030010,PADANG GENTING,12.19.05.2007,PADANG GENTING,21254,2023
10935,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030009,PAHANG,12.19.05.2008,PAHANG,21254,2023
10936,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030008,PANJANG,12.19.05.2009,PANJANG,21254,2023
10937,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030017,GUNUNG RANTE,12.19.05.2014,GUNUNG RANTE,21254,2023
10938,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030020,DAHARI INDAH,12.19.05.2015,DAHARI INDAH,21254,2023
10939,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030019,INDRA YAMAN,12.19.05.2016,INDRA YAMAN,21254,2023
1094,11,ACEH,11,ACEH,1105,KABUPATEN ACEH TIMUR,1105101,SUNGAI RAYA,03-11-19,SUNGAI RAYA,1105101002,SEUNEUBOK ACEH,11.03.19.2010,SEUNEUBOK ACEH,24458,2023
10940,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219030,TALAWI,19-12-05,TALAWI,1219030018,BENTENG,12.19.05.2017,BENTENG,21254,2023
10941,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020021,TANJUNG TIRAM,12.19.06.1001,TANJUNG TIRAM,0,2023
10942,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020031,BAGAN ARYA,12.19.06.1022,BAGAN ARYA,21253,2023
10943,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020018,GUNTUNG,12.19.06.2002,GUNTUNG,21253,2023
10944,12,SUMATERA UTARA,12,SUMATERA UTARA,1219,KABUPATEN BATU BARA,1219020,TANJUNG TIRAM,19-12-06,TANJUNG TIRAM,1219020019,BAGAN DALAM,12.19.06.2004,BAGAN DALAM,21253,2023
